          Фамилия                  |      Должность               |  Дата рождения               |  Стаж работы            |  Зарплата          
Аквариус                           |Слесарь                       |          27.11.1539          |                      521|               15724|
Бионикс                            |Культист                      |          06.11.1970          |                      377|               28145|
Галактион                          |Хтонист                       |          27.02.1847          |                      331|               11942|
Дракон                             |Харбингер                     |          04.04.1916          |                      572|                 153|
Ехидна                             |Некромант                     |          24.10.1630          |                      404|               19895|
Жагуар                             |Манкубус                      |          07.12.1610          |                      537|               19912|
Зуракс                             |Архонт                        |          06.08.1699          |                       65|               23811|
Иллюзис                            |Культист                      |          15.10.1661          |                      489|                7711|
Каламарин                          |Хтонист                       |          24.12.1816          |                       28|               32757|
Левитрон                           |Хаосник                       |          08.12.1819          |                      223|                 778|
Ахлебар                            |Бухгалтер                     |          14.03.1653          |                      288|               30106|
Бездарикс                          |Журналист                     |          19.05.1740          |                      140|               23805|
Вздыбенкос                         |Некромант                     |          06.11.1955          |                      354|               31101|
Галактионис                        |Хаосник                       |          07.10.1806          |                      108|               19954|
Дрыгасар                           |Риппер                        |          30.11.1506          |                      611|               26308|
Ерзебар                            |Консультант                   |          09.03.1553          |                      209|               21538|
Железовикс                         |Абаддон                       |          19.10.1940          |                      171|               31115|
Завихренкос                        |Слесарь                       |          11.01.1670          |                      657|                2306|
Иванюкар                           |Архонт                        |          09.06.1616          |                      284|               19072|
Каламбурин                         |Тестировщик                   |          12.06.1523          |                      435|               16512|
Флумпикс                           |Некромант                     |          06.06.1388          |                      377|               24767|
Глупенкос                          |Хтонист                       |          25.12.1768          |                       44|                1150|
Квазимодикс                        |Разработчик                   |          21.11.1612          |                      471|               30191|
Псевдобурис                        |Пинкидемон                    |          12.02.2009          |                      447|               10383|
Абракадабр                         |Демонолог                     |          25.02.1773          |                      245|               18588|
Бурундук                           |Журналист                     |          11.03.1720          |                      429|               29168|
Вурдалак                           |Журналист                     |          13.07.1401          |                       94|                6359|
Гадюк                              |Абаддон                       |          05.09.1467          |                      289|                4041|
Дивногорск                         |Культист                      |          23.08.1650          |                       50|               11020|
Ежевников                          |Журналист                     |          12.01.1979          |                      354|               24484|
Животов                            |Харбингер                     |          16.06.1952          |                      444|               27938|
Зверобой                           |Абаддон                       |          03.08.1566          |                      398|               14893|
Иллюминат                          |Чернокнижник                  |          04.12.1519          |                      324|                6617|
Кабардин                           |Владыка                       |          22.06.1834          |                      287|               17451|
Лаванд                             |Чернокнижник                  |          30.08.1437          |                      154|               30303|
Магнит                             |Журналист                     |          29.01.1672          |                      337|               32702|
Нострадам                          |Хтонист                       |          22.10.1519          |                      553|                1587|
Орфограф                           |Кибердемон                    |          29.09.1845          |                      138|                6618|
Пифагор                            |Кибердемон                    |          30.03.1542          |                      275|               20798|
Риторик                            |Менеджер                      |          01.01.1507          |                      556|               12292|
Аквариусек                         |Кибердемон                    |          22.11.1821          |                      632|                6191|
Биониксен                          |Архонт                        |          11.05.1780          |                      218|                2634|
Галактионер                        |Некромант                     |          17.01.1949          |                      388|                4886|
Драконбург                         |Владыка                       |          24.02.1563          |                      534|                1416|
Ехиднштейн                         |Манкубус                      |          21.03.1994          |                       31|                5699|
Жагуаровский                       |Архонт                        |          24.05.1520          |                      413|               10712|
Зураксполь                         |Консультант                   |          24.04.1512          |                      545|               14688|
Иллюзисберг                        |Менеджер                      |          25.04.1559          |                      340|               10585|
Каламаринек                        |Консультант                   |          24.05.1729          |                      645|               23757|
Левитронович                       |Журналист                     |          16.06.1728          |                      413|               17189|
Ахлебарчак                         |Тестировщик                   |          18.05.1997          |                      113|               10555|
Бездариксен                        |Программист                   |          27.02.1459          |                      175|               18060|
Вздыбенкоски                       |Консультант                   |          24.12.1601          |                      295|               25996|
Галактионисбург                    |Пинкидемон                    |          16.02.1483          |                      552|               12949|
Дрыгасарек                         |Хаосник                       |          19.10.1473          |                      314|               16105|
Ерзебарчак                         |Программист                   |          05.12.1726          |                      132|               11701|
Железовиксен                       |Кибердемон                    |          19.03.1999          |                      317|               24355|
Завихренкосполь                    |Пинкидемон                    |          21.01.1951          |                      500|               20945|
Иванюкарштейн                      |Разработчик                   |          29.02.1574          |                      336|               27982|
Каламбуринек                       |Слесарь                       |          11.01.1876          |                      469|                2161|
Флумпиксен                         |Манкубус                      |          20.02.1554          |                       56|               21659|
Глупенкоски                        |Программист                   |          30.10.1559          |                      180|               29510|
Квазимодиксен                      |Архонт                        |          06.11.2021          |                      478|               28022|
Псевдобурисбург                    |Риппер                        |          17.08.1992          |                      642|                7391|
Абракадабрович                     |Культист                      |          13.06.1729          |                      656|               25824|
Бурундукович                       |Чернокнижник                  |          10.01.1458          |                      511|               28070|
Вурдалаковский                     |Демонолог                     |          25.07.1699          |                      457|               32270|
Гадюкштейн                         |Менеджер                      |          05.09.2020          |                      438|                8480|
Дивногорсковский                   |Слесарь                       |          08.03.1723          |                      557|                2625|
Ежевникович                        |Менеджер                      |          27.08.1432          |                      407|               14181|
Животович                          |Хтонист                       |          04.10.1898          |                       81|               13031|
Зверобоева                         |Тестировщик                   |          08.03.1882          |                      410|                7900|
Иллюминатовский                    |Менеджер                      |          06.10.1656          |                      284|               29170|
Кабардиновский                     |Архонт                        |          31.08.1827          |                      248|                4667|
Лавандовский                       |Менеджер                      |          24.09.1462          |                       31|               21624|
Магнитовский                       |Манкубус                      |          26.09.1897          |                       14|               26302|
Нострадамусовский                  |Манкубус                      |          26.11.1536          |                      541|               25484|
Орфографовский                     |Некромант                     |          27.12.1532          |                      136|               18087|
Пифагорович                        |Бухгалтер                     |          15.11.1430          |                      202|               20315|
Риториковский                      |Некромант                     |          05.08.1767          |                      504|                5109|
